,city,source,pollutant_subtype,concentration
290,Ciudad de México,shipping,PM25_PRIMARY,0.0
291,Wuhan,agriculture,PM25_NO3,0.03162774393163098
292,Bogotá,residential,PM25_PRIMARY,0.7438887739741025
293,Tokyo,waste_handling,PM25_NH4,0.02413429537057864
294,Oslo,dust,PM25_PRIMARY,0.0
295,Singapore,powerplants,PM25_PRIMARY,2.7859438693035927
296,Lagos,powerplants,PM25_PRIMARY,5.176624376526816e-09
297,New York City,soil,PM25_PRIMARY,0.0
298,Seoul,industry,PM25_PRIMARY,4.450331388944784
299,Johannesburg,agriculture,PM25_PRIMARY,0.0
300,Durban (eThekwini),shipping,PM25_PRIMARY,0.000900869967324634
301,Lima,powerplants,PM25_PRIMARY,0.0019378918171406156
302,Dakar,dust,PM25_PRIMARY,0.0
303,Cape Town,transportation,PM25_PRIMARY,0.7770375537331095
304,Chengdu,powerplants,PM25_NO3,1.3907533638919631
305,Dubai,dust,PM25_NH4,0.0
306,Montréal,industry,PM25_PRIMARY,0.7354616172948866
307,Seoul,shipping,PM25_PRIMARY,0.0005214993461708021
308,Singapore,shipping,PM25_NH4,0.00020376909717886103
309,Barcelona,powerplants,PM25_SO4,0.07334759769324238
310,Milan,powerplants,PM25_SO4,0.060147692912202434
311,Seattle,powerplants,PM25_PRIMARY,0.003391945865340374
312,Johannesburg,soil,PM25_PRIMARY,0.0
313,Abidjan,residential,PM25_NH4,0.09524361061043787
314,Johannesburg,residential,PM25_PRIMARY,3.000106044778612
315,Berlin,wildfires,PM25_PRIMARY,0.0
316,Oslo,soil,PM25_NH4,0.0
317,Quezon City,residential,PM25_NO3,6.927047978185054e-05
318,Boston,dust,PM25_SO4,0.0
319,Kuala Lumpur,shipping,PM25_PRIMARY,0.003440884325519357
320,Stockholm,soil,PM25_PRIMARY,0.0
321,Miami,wildfires,PM25_NH4,8.915010833809902e-07
322,Toronto,wildfires,PM25_SOA,0.0
323,Nanjing,agriculture,PM25_PRIMARY,0.0
324,Tel Aviv,vegetation,PM25_NO3,0.0
325,Hangzhou,solvents,PM25_PRIMARY,0.0
326,Curitiba,vegetation,PM25_NO3,0.0
327,Yokohama,residential,PM25_NO3,0.3233626805603968
328,Durban (eThekwini),wildfires,PM25_PRIMARY,0.023198357661410984
329,Singapore,dust,PM25_PRIMARY,0.0
330,Quezon City,waste_handling,PM25_NH4,0.0013640207533156304
331,Chengdu,residential,PM25_NO3,0.7864190162580778
332,Ciudad de México,waste_handling,PM25_NH4,0.3963848441058032
333,Paris,soil,PM25_NH4,0.0
334,Durban (eThekwini),transportation,PM25_SOA,0.013983214071290462
335,Shenzhen,residential,PM25_NO3,0.25487032755696803
336,Los Angeles,industry,PM25_NH4,0.21295721189363373
337,Tshwane,wildfires,PM25_NH4,7.44183491520138e-05
338,Chicago,residential,PM25_NH4,0.010010059646799326
339,Phoenix,industry,PM25_NH4,0.00888342612538937
340,Fuzhou,wildfires,PM25_NH4,0.00011982400247698071
341,Johannesburg,waste_handling,PM25_PRIMARY,0.8675147194260059
342,Dakar,residential,PM25_PRIMARY,1.3425301065777602
343,Shenzhen,dust,PM25_PRIMARY,0.0
344,Amsterdam,transportation,PM25_NH4,0.033689964856934325
345,Cape Town,waste_handling,PM25_NH4,0.6669933966356557
346,Portland,wildfires,PM25_PRIMARY,1.55946544420337e-05
347,Bogotá,waste_handling,PM25_NH4,0.5801184678562036
348,Toronto,transportation,PM25_PRIMARY,0.07341557164031885
349,Cape Town,shipping,PM25_PRIMARY,0.003541565906483603
350,Los Angeles,solvents,PM25_PRIMARY,0.0
351,Cape Town,powerplants,PM25_NH4,0.04583970007208304
352,Karachi,waste_handling,PM25_SO4,0.13955530832245264
353,Rome,shipping,PM25_PRIMARY,0.0009407546598686704
354,Santiago,waste_handling,PM25_PRIMARY,0.8208481560802598
355,Ho Chi Minh City,powerplants,PM25_PRIMARY,0.0006495590821286359
356,Qingdao,soil,PM25_NH4,0.0
357,Fuzhou,transportation,PM25_NH4,0.0012217796380848082
358,Chicago,soil,PM25_NH4,0.0
359,Bangkok,powerplants,PM25_PRIMARY,0.34211408088292816
360,Berlin,soil,PM25_PRIMARY,0.0
361,Auckland,transportation,PM25_PRIMARY,0.11500777395145913
362,Salvador,powerplants,PM25_PRIMARY,0.00966906673678914
363,Houston,residential,PM25_NH4,0.006866687629234806
364,Istanbul,solvents,PM25_NH4,0.0
365,Ho Chi Minh City,dust,PM25_PRIMARY,0.060243252617709526
366,Hangzhou,vegetation,PM25_PRIMARY,0.0
367,Fuzhou,industry,PM25_NO3,0.2847052737436723
368,Yokohama,agriculture,PM25_NH4,0.11413863458010473
369,San Francisco,vegetation,PM25_PRIMARY,0.0
370,Stockholm,wildfires,PM25_PRIMARY,0.0
371,Dhaka,waste_handling,PM25_NH4,0.0739891065170831
372,Nairobi,agriculture,PM25_NH4,0.04739621547002594
373,Addis Ababa,wildfires,PM25_NH4,0.0
374,Nanjing,powerplants,PM25_PRIMARY,1.377466917640793
375,Delhi NCT,agriculture,PM25_PRIMARY,0.0
376,Sydney,solvents,PM25_PRIMARY,0.0
377,Miami,residential,PM25_PRIMARY,0.23544681236438034
378,Bogotá,dust,PM25_PRIMARY,0.0
379,Istanbul,residential,PM25_SOA,0.09969306892931408
380,Dalian,dust,PM25_PRIMARY,7.348651070234705e-06
381,Guadalajara,agriculture,PM25_NO3,0.003331272751407036
382,Shanghai,transportation,PM25_PRIMARY,0.5851025533309349
383,Shenzhen,waste_handling,PM25_PRIMARY,0.4298775029520892
384,Medellín,waste_handling,PM25_NO3,0.07927571384706053
385,Wuhan,powerplants,PM25_PRIMARY,1.5493387678931776
386,Addis Ababa,shipping,PM25_SOA,0.0
387,Milan,dust,PM25_NH4,0.0
388,Beijing,wildfires,PM25_NO3,0.002873280447757376
389,Auckland,dust,PM25_NH4,0.0
390,Melbourne,soil,PM25_NO3,0.0007111230149351905
391,Karachi,residential,PM25_PRIMARY,1.4018512797486953
392,Hong Kong,residential,PM25_PRIMARY,0.07411829726104532
393,São Paulo,waste_handling,PM25_PRIMARY,1.1914255474395201
394,Santiago,soil,PM25_SOA,0.0
395,San Francisco,soil,PM25_NH4,0.0
396,Nairobi,solvents,PM25_NO3,0.0
397,Milan,solvents,PM25_PRIMARY,0.0
398,Paris,wildfires,PM25_PRIMARY,0.0
399,Tshwane,shipping,PM25_NH4,0.0
400,Medellín,transportation,PM25_SOA,0.061495819172761375
401,Quito,transportation,PM25_NH4,0.02509498663354821
402,Nanjing,transportation,PM25_SO4,0.0514016383825719
403,Bengaluru,wildfires,PM25_NH4,0.000221427040437668
404,Oslo,wildfires,PM25_NH4,0.0
405,Milan,shipping,PM25_PRIMARY,5.158804401703021e-05
406,"Washington, DC",vegetation,PM25_PRIMARY,0.0
407,Amsterdam,soil,PM25_NH4,0.0
408,Bengaluru,industry,PM25_PRIMARY,0.3540443007457357
409,Bogotá,transportation,PM25_PRIMARY,0.5544178598371996
410,Chennai,soil,PM25_SO4,0.0
411,São Paulo,dust,PM25_PRIMARY,0.0
412,"Washington, DC",waste_handling,PM25_PRIMARY,0.03056360398242642
413,Dakar,soil,PM25_NH4,0.0
414,Abidjan,shipping,PM25_PRIMARY,0.00024473290202611206
415,Kolkata,shipping,PM25_NH4,1.4854398820199391e-08
416,Moscow,industry,PM25_NH4,0.1827101929429719
417,Tel Aviv,powerplants,PM25_PRIMARY,0.009599937097189613
418,Addis Ababa,vegetation,PM25_NO3,0.0
419,Jakarta,shipping,PM25_PRIMARY,0.0016509211176156913
420,Addis Ababa,solvents,PM25_PRIMARY,0.0
421,Miami,industry,PM25_NH4,0.11897954679019465
422,Los Angeles,dust,PM25_NO3,0.0
423,Bengaluru,vegetation,PM25_SOA,0.0041775641737039895
424,Yokohama,solvents,PM25_PRIMARY,0.0
425,Guangzhou,soil,PM25_PRIMARY,0.0
426,Bogotá,vegetation,PM25_PRIMARY,0.0
427,Qingdao,shipping,PM25_PRIMARY,0.00021030098366351923
428,Kolkata,residential,PM25_PRIMARY,1.4700166714386358
429,Paris,industry,PM25_PRIMARY,0.23485926863683465
430,Yokohama,transportation,PM25_PRIMARY,0.19807604645422228
431,Lima,agriculture,PM25_SO4,0.0
432,Lisbon,shipping,PM25_NO3,0.02222154919478241
433,Karachi,wildfires,PM25_NH4,5.892282993170114e-06
434,Houston,shipping,PM25_NH4,7.4834161532550965e-06
435,Rotterdam,powerplants,PM25_PRIMARY,0.04708994018091808
436,Tokyo,residential,PM25_PRIMARY,0.6446508440620478
437,Amsterdam,residential,PM25_NH4,9.664446582325001e-07
438,Montréal,solvents,PM25_PRIMARY,0.0
439,Abidjan,solvents,PM25_NH4,0.0
440,Phoenix,waste_handling,PM25_PRIMARY,0.043481720929155414
441,Boston,soil,PM25_NH4,0.0
442,Venice,solvents,PM25_PRIMARY,0.0
443,Sydney,dust,PM25_PRIMARY,0.0
444,Paris,shipping,PM25_NH4,2.832296269705636e-07
445,Lagos,industry,PM25_PRIMARY,1.7892289707462907
446,Tokyo,soil,PM25_NO3,0.0015233284929208118
447,Salvador,agriculture,PM25_SO4,0.0
448,Venice,shipping,PM25_NO3,0.0007451156746429219
449,Bogotá,solvents,PM25_NH4,0.0
450,Dar es Salaam,agriculture,PM25_NO3,0.0007556487298988501
451,Johannesburg,solvents,PM25_PRIMARY,0.0
452,Tshwane,vegetation,PM25_NH4,0.0
453,Guangzhou,residential,PM25_NO3,0.3331200078821362
454,Singapore,waste_handling,PM25_PRIMARY,0.05222106726600242
455,Buenos Aires,vegetation,PM25_PRIMARY,0.0
456,Houston,soil,PM25_NH4,0.0
457,Ciudad de México,shipping,PM25_NH4,0.0
458,Freetown,powerplants,PM25_PRIMARY,0.007612343258253083
459,Quezon City,vegetation,PM25_PRIMARY,0.0
460,Bogotá,residential,PM25_NH4,0.16355089688021826
461,Tokyo,transportation,PM25_PRIMARY,0.15986017682953207
462,Oslo,dust,PM25_NH4,0.0
463,Singapore,powerplants,PM25_NH4,0.14394247845215344
464,Tokyo,agriculture,PM25_NO3,0.0012806376677027614
465,Seoul,wildfires,PM25_PRIMARY,0.0
466,Lagos,powerplants,PM25_NH4,0.0178498453261098
467,Hangzhou,dust,PM25_PRIMARY,0.0
468,Amman,powerplants,PM25_PRIMARY,0.0009384533013828461
469,Lima,soil,PM25_NH4,0.0
470,Oslo,industry,PM25_PRIMARY,0.01988524002490335
471,New York City,soil,PM25_NH4,0.0
472,Shenzhen,shipping,PM25_PRIMARY,0.0008370668741904822
473,Dakar,dust,PM25_NH4,0.0
474,Seoul,industry,PM25_NH4,0.35343452621734484
475,Dubai,dust,PM25_NO3,0.0
476,Freetown,shipping,PM25_PRIMARY,0.0004231674083391426
477,Miami,powerplants,PM25_PRIMARY,0.006562342913683305
478,Shenzhen,powerplants,PM25_PRIMARY,2.339289696950755
479,Montréal,industry,PM25_NH4,0.2332879254603165
480,Johannesburg,agriculture,PM25_NH4,0.03456975709658005
481,Medellín,wildfires,PM25_PRIMARY,0.0
482,Singapore,shipping,PM25_NO3,0.02425999448600068
483,Wuhan,agriculture,PM25_SO4,0.0
484,Seattle,powerplants,PM25_NH4,0.0022546413196532986
485,Kuala Lumpur,dust,PM25_PRIMARY,0.0
486,Barcelona,powerplants,PM25_SOA,0.008644643062414765
487,Milan,powerplants,PM25_SOA,0.004440515910470733
488,Sydney,agriculture,PM25_PRIMARY,0.0
489,Nairobi,transportation,PM25_PRIMARY,0.20696158967805464
490,Seoul,shipping,PM25_NH4,1.2749670053782974e-05
